name,description,link_url,code_url,type,categories
Austin Recycles,Application and web service that provides trash and recycling pickup information for the City of Austin.,http://austin-recycles.open-austin.org/,https://github.com/open-austin/austin-recycles,web service,"environment, recycle, waste management"
Austin Restaurant Scores,App to query Austin restaurant scores,http://open-austin.github.io/atx-restaurant-scores/public/index.html,https://github.com/open-austin/atx-restaurant-scores,web service,food safety
Bike Buddy,Connecting people who want to try bicycle commuting with experienced bicycle commuters who want to help. A May 2013 Austin Bike Month initiative. Created as a public service by Open Austin.,http://bike-buddy.open-austin.org/,https://github.com/chip-rosenthal/bike-buddy,web service,"transporation, bicycling"
Hack Task Aggregator,"Web application to aggregate tasks across projects that are identified for ""hacking"".",http://open-austin.github.io/hack-task-aggregator/public/index.html,https://github.com/open-austin/hack-task-aggregator,web service,"project management, civic hacking"
LIVES,"Generate LIVES standard data feed from restaurant inspection scores in Austin, TX.",http://data.open-austin.org/lives.ci.austin.tx.us.zip,https://github.com/chip-rosenthal/atx-lives-feed,data feed,food safety
TEC Filer,A system for filing campaign finance reports required by the Texas Ethics Commission. Open source and can be deployed anywhere in Texas.,,https://github.com/open-austin/tecfiler,web service,elections
Vote ATX,The Vote ATX application finds voting places based on a user's location.,http://voteatx.us/,https://github.com/chip-rosenthal/voteatx,web service,"elections, politics, voting"
